Name,SCIName,Address,Town,State,ZIP5,ZIPlong,State_ZIP,ZIP_bad,latitude,longitude
SCI Albion,Albion,10745 Route 18,Albion,PA,16475,16475-0001, PA  16475-0001, 16475-0001,41.890611,-80.366454
SCI Benner Township,Benner Township,301 Institution Drive,Bellefonte,PA,16823,16823, PA 16823,16823,40.913486,-77.773747
SCI Cambridge Springs,Cambridge Springs,451 Fullerton Avenue,Cambridge Springs,PA,16403,16403, PA  16403,16403,41.796493,-80.053699
SCI Camp Hill,Camp Hill,"P.O. Box 8837, 2500 Lisburn Road",Camp Hill,PA,17001,17001-8837, PA  17001-8837, 17001-8837,40.239812,-76.919974
SCI Chester,Chester,500 E. 4th Street,Chester,PA,19013,19013-4551, PA 19013-4551,19013-4551,39.851216,-75.351527
SCI Coal Township,Coal Township,1 Kelley Drive,Coal Township,PA,17866,17866-1020, PA  17866-1020, 17866-1020,-4.749393,-52.897301
SCI Dallas,Dallas,1000 Follies Road,Dallas,PA,18612,18612, PA  18612,18612,-24.299188,-53.845131
SCI Fayette,Fayette,50 Overlook Drive,LaBelle,PA,15450,15450-1050, PA  15450-1050, 15450-1050,-4.749393,-52.897301
SCI Forest,Forest,286 Woodland Drive,Marienville,PA,16239,16239-0307, PA  16239-0307, 16239-0307,41.469075,-79.123375
SCI Frackville,Frackville,1111 Altamont Boulevard,Frackville,PA,17931,17931-2699, PA 17931-2699,17931-2699,40.771577,-76.209227
SCI Greene,Greene,169 Progress Drive,Waynesburg,PA,15370,15370-8090, PA 15370-8090,15370-8090,39.896464,-80.17923
SCI Houtzdale,Houtzdale,209 Institution Drive,Houtzdale,PA,16698,16698-1000, PA 16698-1000,16698-1000,40.825059,-78.351129
SCI Huntingdon,Huntingdon,1100 Pike Street,Huntingdon,PA,16654,16654-1112, PA  16654-1112, 16654-1112,40.489952,-78.02634
SCI Laurel Highlands,Laurel Highlands,5706 Glades Pike,Somerset,PA,15501,15501-0631, PA 15501-0631,15501-0631,40.004439,-79.040028
SCI Mahanoy,Mahanoy,301 Morea Road,Frackville,PA,17932,17932, PA  17932,17932,40.783977,-76.230221
SCI Mercer,Mercer,801 Butler Pike,Mercer,PA,16137,16137, PA 16137,16137,41.200569,-80.223928
SCI Muncy,Muncy,6454 PA-405,Muncy,PA,17756,17756-0180, PA 17756-0180,17756-0180,41.20736,-76.779816
SCI Phoenix,Phoenix,1200 Mokychic Drive,Collegeville,PA,19426,19426, PA 19426,19426,40.18566,-75.451571
SCI Pine Grove ,Pine Grove ,189 Fyock Road,Indiana,PA,15701,15701-6542, PA  15701-6542, 15701-6542,40.646052,-79.102251
Quehanna Boot Camp,,4395 Quehanna Hwy,Karthaus,PA,16845,16845-9714, PA  16845-9714, 16845-9714,41.120892,-78.113896
SCI Retreat,Retreat,660 State Route 11,Hunlock Creek,PA,18621,18621-3136, PA 18621-3136,18621-3136,41.206386,-76.065874
SCI Rockview,Rockview,1 Rockview Place,Bellefonte,PA,16823,16823, PA 16823,16823,40.913486,-77.773747
SCI Smithfield,Smithfield,1120 Pike Street,Huntingdon,PA,16652,16652, PA 16652,16652,40.49463,-78.029603
SCI Somerset,Somerset,1590 Walters Mill Road,Somerset,PA,15510,15510-0001, PA 15510-0001,15510-0001,39.969624,-79.066916
SCI Waymart,Waymart,"11 Fairview Drive, Waymart, PA",Waymart,PA,18472,18472-0256, PA 18472-0256,18472-0256,41.580363,-75.408237
Training Academy,,1451 North Market Street,Elizabethtown,PA,17022,17022-1299, PA 17022-1299,17022-1299,40.159185,-76.627337
SCI Graterford,Graterford,,,PA,,,,,40.216335,-75.409836